Peso,Ano,Combustível,Km Rodados,Consumo
15000,2012,2,3261,"4,46"
10800,2023,2,3261,"4,46"
10800,2023,2,3261,"4,46"
10800,2024,2,3261,"4,46"
13000,2006,2,226,"1,55"
8000,2009,2,599,"2,22"
22000,2009,2,611,"12,22"
24000,2006,2,730,"2,87"
18000,2000,2,1.089,"2,61"
1600,2020,2,1240,"8,32"
1634,2003,2,1.255,"5,27"
1600,2019,2,1.500,"8,32"
8000,2009,2,2.129,"5,35"
1634,2003,2,2.230,"4,75"
10800,2022,2,2.505,"4,3"
10800,2022,2,2.515,"3,18"
29000,2021,2,2.659,"3,6"
8000,2013,2,2.786,"5,78"
8000,2008,2,3.019,"4,52"
10800,2021,2,3.175,"4,37"
22000,2009,2,3.302,"2,37"
8000,2009,2,3.336,"5,06"
8000,2011,2,3.344,"5,51"
23000,2014,2,3.759,"1,72"
8000,2009,2,4.495,"6,39"
23000,2024,2,5.071,"2,87"
29000,2020,2,5.081,"2,31"
8000,2010,2,5.108,"5,71"
15000,2007,2,5.276,"3,35"
10800,2021,2,5.508,"3,5"
10800,2018,2,2790,"4,53"
10800,2019,2,2790,"4,53"
10800,2023,2,2790,"4,53"
10800,2023,2,2790,"4,53"
15000,2011,2,2790,"4,53"
15000,2011,2,2790,"4,53"
1131,2021,1,4.223,"11,11"
1131,2024,1,3889,"17,155"
1131,2023,1,3.197,"61,36"
1131,2024,1,2.579,"10,41"
1131,2021,1,2322,"9,51"
1131,2021,1,1.961,"10,44"
976,2023,1,5.152,"12,58"
976,2023,1,3.158,"12,51"
976,2023,1,2.802,"12,28"
976,2023,1,1.473,"10,2"
1600,2019,1,1.333,"8,53"
15000,2012,2,2790,"4,53"
22000,2014,2,2790,"4,53"
22000,2019,2,2790,"4,53"
22000,2019,2,2790,"4,53"
1600,2019,2,2790,"4,53"
961,2024,1,3.263,"12,59"
961,2024,1,2.689,"13,62"
961,2023,1,1209,"7,73"
961,2024,1,561,"8,97"
1058,2023,1,1.722,12
1058,2023,1,1.947,"14,51"
1058,2023,1,1.490,"11,41"
1058,2024,1,305,"6,63"
1028,2023,1,6.126,"11,88"
1028,2023,1,3.588,"13,75"
1028,2024,1,3.326,"10,24"
1028,2023,1,3.090,"10,15"
1028,2023,1,2.248,"10,22"
1251,2022,1,3193,"10,9"
1251,2023,1,1.811,"9,8"
12000,2006,2,308,"1,44"
10800,2022,2,345,"1,46"
976,2023,1,399,"8,18"
961,2024,1,483,"6,77"
24000,2006,2,900,"3,49"
22000,2009,2,966,"3,04"
8000,2009,2,983,"1,92"
8000,2009,2,1.224,"5,7"
10800,2022,2,1.243,"3,36"
1634,2003,2,1.292,"3,39"
1058,2024,1,1.314,"8,07"
1600,2019,2,1.414,"9,11"
1058,2023,1,1.452,"11,12"
961,2023,1,1.666,"10,1"
1634,2003,2,1.674,"5,76"
1131,2021,1,1.719,"11,36"
1131,2023,1,1.844,"10,91"
1058,2023,1,1.852,"13,79"
8000,2008,2,1.862,"3,36"
1251,2023,1,1.971,"9,06"
1131,2021,1,1.980,"10,25"
976,2023,1,2004,"12,05"
976,2023,1,2.239,"12,31"
961,2024,1,2.355,"11,9"
8000,2011,2,2.443,"3,91"
1058,2023,1,2.537,"11,58"
961,2024,1,2.644,"13,13"
23000,2024,2,2.674,"2,93"
29000,2021,2,2.726,"2,86"
10800,2021,2,2.789,"4,12"
1131,2024,1,2.867,"11,33"
22000,2009,2,2.870,"2,13"
1028,2023,1,3.021,"11,46"
1251,2022,1,3.150,"12,23"
1028,2024,1,3.226,"9,77"
1028,2023,1,3.278,"9,78"
8000,2013,2,3.335,"3,5"
1131,2024,1,3.470,"8,79"
29000,2020,2,3.670,"1,28"
1600,2019,2,3.906,"8,2"
10800,2021,2,3.942,"3,48"
1028,2023,1,4.031,"12,62"
8000,2009,2,4.037,"6,41"
976,2023,1,4.191,"11,97"
8000,2009,2,4.499,"5,04"
8000,2010,2,5.100,"5,49"
1028,2023,1,5.223,"12,61"
1131,2021,1,5.371,"11,23"
15000,2007,2,5.489,"3,73"
22000,2019,2,2581,"3,96"
22000,2019,2,2581,"3,96"
10800,2019,2,2581,"3,96"
22000,2014,2,2581,"3,96"
15000,2011,2,2581,"3,96"
15000,2012,2,2581,"3,96"
10800,2023,2,2581,"3,96"
10800,2023,2,2581,"3,96"
15000,2011,2,2581,"3,96"
10800,2018,2,2581,"3,96"
