Peso;Ano;Combustível;Km Rodados;KM/L;Limite Mensal;;;
10800;2023;DIESEL;4.765;4,52;4.000,00;;;
22000;2019;DIESEL;4.765;4,52;9.000,00;;;
15000;2011;DIESEL;4.765;4,52;4.000,00;;;
10800;2019;DIESEL;4.765;4,52;6.000,00;;;
10800;2024;DIESEL;4.765;4,52;6.000,00;;;
15000;2012;DIESEL;4.765;4,52;7.400,00;;;
22000;2014;DIESEL;4.765;3,52;9.000,00;;;
22000;2019;DIESEL;4.765;3,52;4.000,00;;;
10800;2023;DIESEL;4.765;4,52;4.000,00;;;
15000;2011;DIESEL;4.765;4,52;4.000,00;;;
1600;2019;DIESEL;4.765;4,52;1.000,00;;;
10800;2021;DIESEL;4.765;4,52;5.000,00;;;
10800;2022;DIESEL;2.644;4,52;4.000,00;;;
10800;2022;DIESEL;2.243;3,77;4.000,00;;;
10800;2021;DIESEL;199;1,93;6.500,00;;;
13000;2006;DIESEL;152;1,52;3.050,00;;;
961;2024;GASOLINA;355;5,37;1.000,00;;;
180000;2000;DIESEL;403;1,59;4.000,00;;;
8000;2009;DIESEL;1.079;1,97;4.600,00;;;
22000;2009;DIESEL;1.204;2,39;9.100,00;;;
1131;2021;GASOLINA;1.583;10;400;;;
976;2023;GASOLINA;1.713;12,2;1.000,00;;;
1058;2023;GASOLINA;1.769;12,14;1.200,00;;;
1600;2019;DIESEL;1.891;8,97;700;;;
1058;2023;GASOLINA;1.983;14,46;1.000,00;;;
961;2023;GASOLINA;2.157;10,95;1.000,00;;;
8000;2011;DIESEL;2.248;3,78;3.000,00;;;
1131;2021;GASOLINA;2.277;10,5;1.600,00;;;
8000;2013;DIESEL;2.301;5,49;3.000,00;;;
23000;2025;DIESEL;2.384;2,09;9.000,00;;;
15000;2007;DIESEL;2.416;3,16;9.100,00;;;
961;2024;GASOLINA;2.426;12,56;1.200,00;;;
8000;2008;DIESEL;2.430;5,18;3.000,00;;;
8000;2009;DIESEL;2.480;4,75;4.000,00;;;
29000;2020;DIESEL;2.665;2,47;9.800,00;;;
1058;2023;GASOLINA;2.700;11,39;1.600,00;;;
10800;2022;DIESEL;2.804;4,53;5.920,06;;;
1634;2003;DIESEL;2.980;4,86;3.200,00;;;
1028;2023;GASOLINA;3.016;11,67;1.200,00;;;
1028;2024;GASOLINA;3.133;9,67;1.600,00;;;
976;2023;GASOLINA;3.163;13,35;1.600,00;;;
976;2023;GASOLINA;3.190;13,76;1.600,00;;;
961;2024;GASOLINA;3.202;14,04;1.200,00;;;
10800;2021;DIESEL;3.232;3,03;5.630,36;;;
1028;2023;GASOLINA;3.581;11,26;1.600,00;;;
1028;2023;GASOLINA;3601;11,52;1.600,00;;;
10800;2022;DIESEL;3.603;3,94;5.716,25;;;
1131;2021;GASOLINA;3.808;11,86;1.200,00;;;
8000;2009;DIESEL;3.820;5,51;4.600,00;;;
1600;2020;DIESEL;3.899;9,41;1.500,00;;;
1131;2024;GASOLINA;3.902;12,24;1.600,00;;;
10800;2021;DIESEL;3.909;4,56;7.435,11;;;
29000;2021;DIESEL;3.914;2,49;6.000,00;;;
1131;2024;GASOLINA;4.173;10,4;1.200,00;;;
1251;2022;GASOLINA;4.335;11,08;1.200,00;;;
1251;2023;GASOLINA;4.535;9,92;1.600,00;;;
8000;2009;DIESEL;4.542;6,33;4.600,00;;;
23000;2024;DIESEL;4.865;2,55;9.000,00;;;
976;2023;GASOLINA;5.095;12,76;2.400,00;;;
1131;2023;GASOLINA;5.160;11,6;1.600,00;;;
23000;2014;DIESEL;6.521;1,68;14.000,00;;;
8000;2010;DIESEL;6.552;6,49;4.600,00;;;
1028;2023;GASOLINA;6.962;13,01;2.400,00;;;
22000;2014;DIESEL;3261;4,46;4.000,00;;;
22000;2019;DIESEL;3261;4,46;8.579,50;;;
1600;2019;DIESEL;3261;4,46;1.000,00;;;
10800;2018;DIESEL;3261;4,46;6.916,61;;;
22000;2019;DIESEL;3261;4,46;9.000,00;;;
10800;2019;DIESEL;3261;4,46;7.062,94;;;
15000;2011;DIESEL;3261;4,46;5.719,84;;;
15000;2011;DIESEL;3261;4,46;4.000,00;;;
15000;2012;DIESEL;3261;4,46;6.144,07;;;
10800;2023;DIESEL;3261;4,46;4.000,00;;;
10800;2023;DIESEL;3261;4,46;6.304,78;;;
10800;2024;DIESEL;3261;4,46;5.749,52;;;
13000;2006;DIESEL;226;1,55;2.000,00;;;
8000;2009;DIESEL;599;2,22;4.600,00;;;
22000;2009;DIESEL;611;12,22;9.100,00;;;
24000;2006;DIESEL;730;2,87;2.000,00;;;
18000;2000;DIESEL;1.089;2,61;4.000,00;;;
1600;2020;DIESEL;1240;8,32;1.500,00;;;
1634;2003;DIESEL;1.255;5,27;2.000,00;;;
1600;2019;DIESEL;1.500;8,32;1.000,00;;;
8000;2009;DIESEL;2.129;5,35;4.000,00;;;
1634;2003;DIESEL;2.230;4,75;2.000,00;;;
10800;2022;DIESEL;2.505;4,3;4.000,00;;;
10800;2022;DIESEL;2.515;3,18;4.000,00;;;
29000;2021;DIESEL;2.659;3,6;6.000,00;;;
8000;2013;DIESEL;2.786;5,78;3.000,00;;;
8000;2008;DIESEL;3.019;4,52;3.000,00;;;
10800;2021;DIESEL;3.175;4,37;5.000,00;;;
22000;2009;DIESEL;3.302;2,37;9.100,00;;;
8000;2009;DIESEL;3.336;5,06;4.600,00;;;
8000;2011;DIESEL;3.344;5,51;3.000,00;;;
23000;2014;DIESEL;3.759;1,72;6.000,00;;;
8000;2009;DIESEL;4.495;6,39;4.600,00;;;
23000;2024;DIESEL;5.071;2,87;9.000,00;;;
29000;2020;DIESEL;5.081;2,31;9.100,00;;;
8000;2010;DIESEL;5.108;5,71;4.600,00;;;
15000;2007;DIESEL;5.276;3,35;9.100,00;;;
10800;2021;DIESEL;5.508;3,5;4.000,00;;;
