Peso,Ano,CombustÍvel,Km Rodados,Consumo
10800,2023,2,2790,4.53
15000,2011,2,2790,4.53
15000,2011,2,2790,4.53
1131,2021,1,4223,11.11
1131,2024,1,3889,17.155
1131,2023,1,3197,61.36
1131,2024,1,2579,10.41
1131,2021,1,2322,9.51
1131,2021,1,1961,10.44
976,2023,1,5152,12.58
976,2023,1,3158,12.51
976,2023,1,2802,12.28
976,2023,1,1473,10.2
1600,2019,1,1333,8.53
15000,2012,2,2790,4.53
22000,2014,2,2790,4.53
22000,2019,2,2790,4.53
22000,2019,2,2790,4.53
1600,2019,2,2790,4.53
961,2024,1,3263,12.59
961,2024,1,2689,13.62
961,2023,1,1209,7.73
961,2024,1,5610,8.97
1058,2023,1,1722,12.0
1058,2023,1,1947,14.51
1058,2023,1,1490,11.41
1058,2024,1,3050,6.63
1028,2023,1,6126,11.88
1028,2023,1,3588,13.75
1028,2024,1,3326,10.24
1028,2023,1,3900,10.15
1028,2023,1,2248,10.22
1251,2022,1,3193,10.9
1251,2023,1,1811,9.8
12000,2006,2,3080,1.44
10800,2022,2,3450,1.46
976,2023,1,3990,8.18
961,2024,1,4830,6.77
24000,2006,2,9000,3.49
22000,2009,2,9660,03.04
8000,2009,2,9830,1.92
8000,2009,2,1224,5.7
10800,2022,2,1243,3.36
1634,2003,2,1292,3.39
1058,2024,1,1314,08.07
1600,2019,2,1414,9.11
1058,2023,1,1452,11.12
961,2023,1,1666,10.1
1634,2003,2,1674,5.76
1131,2021,1,1719,11.36
1131,2023,1,1844,10.91
1058,2023,1,1852,13.79
8000,2008,2,1862,3.36
1251,2023,1,1971,09.06
1131,2021,1,1980,10.25
976,2023,1,2004,12.05
976,2023,1,2239,12.31
961,2024,1,2355,11.9
8000,2011,2,2443,3.91
1058,2023,1,2537,11.58
961,2024,1,2644,13.13
23000,2024,2,2674,2.93
29000,2021,2,2726,2.86
10800,2021,2,2789,4.12
1131,2024,1,2867,11.33
22000,2009,2,2870,2.13
1028,2023,1,3021,11.46
1251,2022,1,3150,12.23
1028,2024,1,3226,9.77
1028,2023,1,3278,9.78
8000,2013,2,3335,3.5
1131,2024,1,347,8.79
29000,2020,2,3670,1.28
1600,2019,2,3906,8.2
10800,2021,2,3942,3.48
1028,2023,1,4031,12.62
8000,2009,2,4037,6.41
976,2023,1,4191,11.97
8000,2009,2,4499,05.04
8000,2010,2,5100,5.49
1028,2023,1,5223,12.61
1131,2021,1,5371,11.23
15000,2007,2,5489,3.73
22000,2019,2,2581,3.96
22000,2019,2,2581,3.96
10800,2019,2,2581,3.96
22000,2014,2,2581,3.96
15000,2011,2,2581,3.96
15000,2012,2,2581,3.96
10800,2023,2,2581,3.96
10800,2023,2,2581,3.96
15000,2011,2,2581,3.96
10800,2018,2,2581,3.96
